iter	Logloss
0	0.6784885427
1	0.662517794
2	0.6468244596
3	0.6333128643
4	0.6198196666
5	0.6051561264
6	0.592452707
7	0.5805570831
8	0.5668059893
9	0.5552360031
10	0.5436324904
11	0.5315746821
12	0.5205962061
13	0.509428618
14	0.4992848304
15	0.4886657946
16	0.4786679942
17	0.4699419914
18	0.4614950803
19	0.4535534931
20	0.4443305896
21	0.4355728281
22	0.4272277248
23	0.4199696579
24	0.4129678573
25	0.4046681089
26	0.3972033449
27	0.3911152256
28	0.3843252955
29	0.3781716926
30	0.3720549301
31	0.3660783723
32	0.3604529534
33	0.3547454498
34	0.3500592993
35	0.3441162747
36	0.3392217188
37	0.3345333765
38	0.3295979393
39	0.3251440555
40	0.3203578547
41	0.3155436784
42	0.3109658779
43	0.3063882966
44	0.3022388683
45	0.2981781707
46	0.294744766
47	0.2908227876
48	0.2871554676
49	0.2832403415
50	0.279381908
51	0.2760740012
52	0.2726312397
53	0.2691488289
54	0.2659406688
55	0.2630937584
56	0.2601089823
57	0.2574316842
58	0.2542630954
59	0.2518143872
60	0.2497299437
61	0.2472862136
62	0.2446079977
63	0.2422070444
64	0.2394779802
65	0.2373741258
66	0.2348989693
67	0.2324124067
68	0.2302875237
69	0.2282281536
70	0.2265525959
71	0.2244450225
72	0.2225495652
73	0.2205053184
74	0.2184686475
75	0.2170791014
76	0.2154583469
77	0.2136777918
78	0.212263094
79	0.2103959431
80	0.2089457785
81	0.2075536517
82	0.2060384311
83	0.2044484202
84	0.203212906
85	0.2018747801
86	0.2005504676
87	0.1993141829
88	0.1981985275
89	0.1968499585
90	0.1957006596
91	0.1945515404
92	0.1934445223
93	0.1923432803
94	0.1914354945
95	0.1903122632
96	0.1893045854
97	0.1880578003
98	0.1868888096
99	0.1856919097
100	0.1848511646
101	0.1840081844
102	0.1829539158
103	0.1821191576
104	0.1813214094
105	0.1806073294
106	0.1798103879
107	0.1790433308
108	0.1782475125
109	0.1773685155
110	0.1766271096
111	0.1759451251
112	0.1752467728
113	0.1745633324
114	0.1738309608
115	0.1732538845
116	0.1725526725
117	0.1718704024
118	0.1712537004
119	0.1706124729
120	0.1700000228
121	0.1694620226
122	0.1688177044
123	0.1682505749
124	0.1676161814
125	0.1670768917
126	0.1665737592
127	0.166067145
128	0.1655881477
129	0.1650207066
130	0.1644328021
131	0.163935839
132	0.1634133617
133	0.1629274771
134	0.1625007644
135	0.1620516777
136	0.1615263596
137	0.161113542
138	0.1606294805
139	0.1601982091
140	0.1597138241
141	0.1592513304
142	0.1588457118
143	0.1585297658
144	0.1581316016
145	0.1577743873
146	0.1573705113
147	0.1571216142
148	0.1567231992
149	0.1563908694
150	0.1561129064
151	0.1557641029
152	0.1554486409
153	0.1551319218
154	0.1548247594
155	0.1544791314
156	0.1541371279
157	0.1537888638
158	0.1534947456
159	0.1532403532
160	0.1529281506
161	0.1526416362
162	0.1524107973
163	0.1521337712
164	0.151851323
165	0.1515872623
166	0.151312984
167	0.1510432535
168	0.1508009273
169	0.1505679621
170	0.1503267507
171	0.1502014658
172	0.1499874626
173	0.1497540039
174	0.1495237991
175	0.149326568
176	0.1490983163
177	0.1488917493
178	0.1486989606
179	0.1484962239
180	0.1482990614
181	0.148114212
182	0.1479037654
183	0.1477209891
184	0.1475424004
185	0.1473460169
186	0.1471764791
187	0.1469997361
188	0.1468158476
189	0.1467250777
190	0.146559436
191	0.1463724035
192	0.1462871047
193	0.1461296978
194	0.1459594926
195	0.1458000028
196	0.1456517261
197	0.1455182409
198	0.1453733559
199	0.145289136
200	0.1451758336
201	0.1450894977
202	0.1449490576
203	0.1448382196
204	0.1446479159
205	0.1445041078
206	0.1443817118
207	0.1443000876
208	0.1441720794
209	0.1440265975
210	0.1439499032
211	0.1438274319
212	0.1437167599
213	0.1436052651
214	0.1434940856
215	0.1433877766
216	0.1433077616
217	0.1431930509
218	0.1430717396
219	0.1430056236
220	0.1429164827
221	0.1428087133
222	0.1427454656
223	0.142642609
224	0.1425423184
225	0.1424079204
226	0.1423084844
227	0.1422402158
228	0.1421590401
229	0.1420645503
230	0.1419481636
231	0.1418450312
232	0.1417905679
233	0.1417275995
234	0.1416416071
235	0.1415514434
236	0.1414709193
237	0.1413888012
238	0.1413050564
239	0.1411925745
240	0.141098588
241	0.1410389402
242	0.140950036
243	0.140901684
244	0.1408202144
245	0.1407567485
246	0.1406686737
247	0.1405674384
248	0.1405138668
249	0.1404552195
250	0.1403854728
251	0.1403422545
252	0.1402615351
253	0.1402143397
254	0.14016566
255	0.1400977445
256	0.1400217357
257	0.1399612858
258	0.1398920812
259	0.1398526667
260	0.1397946745
261	0.139740442
262	0.1396998728
263	0.1396585946
264	0.1396058729
265	0.1395495338
266	0.1394909239
267	0.1394476008
268	0.139381226
269	0.1392975551
270	0.1392133393
271	0.1391531573
272	0.1391057891
273	0.1390618422
274	0.1390159435
275	0.1389759208
276	0.1389310711
277	0.1388773453
278	0.1388278249
279	0.1387802588
280	0.1387431839
281	0.1387028314
282	0.1386574427
283	0.1386089769
284	0.1385741876
285	0.1385374342
286	0.1384641354
287	0.1384082251
288	0.1383248
289	0.1382859822
290	0.1382437009
291	0.138204941
292	0.1381686835
293	0.1380939603
294	0.1380527865
295	0.1379995088
296	0.137967546
297	0.137932395
298	0.1378685987
299	0.1378399433
