iter	Passed	Remaining
0	347	103922
1	705	105047
2	1124	111297
3	1440	106605
4	1725	101783
5	2035	99735
6	2326	97378
7	2634	96169
8	3026	97862
9	3430	99479
10	3717	97677
11	4003	96084
12	4333	95680
13	4841	98913
14	5131	97490
15	5427	96340
16	5694	94803
17	5977	93644
18	6268	92713
19	6540	91565
20	6857	91105
21	7130	90107
22	7422	89392
23	7701	88563
24	8066	88730
25	8379	88305
26	8674	87713
27	8949	86936
28	9259	86531
29	9547	85925
30	9875	85694
31	10176	85226
32	10457	84612
33	10749	84096
34	11051	83673
35	11361	83315
36	11652	82824
37	11949	82391
38	12233	81872
39	12521	81389
40	12827	81034
41	13214	81172
42	13624	81428
43	14019	81566
44	14453	81904
45	14943	82515
46	15373	82753
47	15744	82657
48	16446	84246
49	16931	84656
50	17331	84617
51	17676	84302
52	18062	84177
53	18509	84322
54	18892	84156
55	19261	83923
56	19541	83310
57	19845	82801
58	20245	82698
59	20568	82272
60	20882	81818
61	21176	81291
62	21473	80782
63	21746	80188
64	22060	79758
65	22411	79459
66	22969	79878
67	23430	79937
68	23904	80027
69	24347	79999
70	24641	79477
71	24977	79095
72	25308	78699
73	25665	78383
74	26098	78294
75	26532	78199
76	27087	78448
77	27464	78168
78	27828	77849
79	28262	77722
80	28604	77338
81	29301	77897
82	29753	77790
83	30099	77399
84	30439	76994
85	30738	76489
86	31043	76003
87	31343	75510
88	31626	74979
89	31918	74476
90	32233	74030
91	32520	73523
92	32886	73199
93	33180	72714
94	33515	72322
95	33804	71835
96	34113	71391
97	34429	70967
98	34738	70530
99	35116	70233
100	35418	69784
101	35698	69296
102	36049	68949
103	36337	68482
104	36640	68045
105	36938	67604
106	37308	67294
107	37611	66865
108	37899	66410
109	38268	66099
110	38578	65687
111	38870	65247
112	39173	64827
113	39458	64379
114	39754	63952
115	40048	63524
116	40336	63090
117	40625	62658
118	40926	62250
119	41232	61848
120	41520	61422
121	41812	61005
122	42106	60592
123	42396	60175
124	42684	59758
125	42959	59324
126	43263	58933
127	43552	58524
128	43840	58113
129	44154	57740
130	44471	57372
131	44765	56974
132	45060	56580
133	45376	56212
134	45669	55817
135	45961	55424
136	46266	55047
137	46557	54654
138	46864	54281
139	47171	53910
140	47476	53537
141	47781	53165
142	48096	52805
143	48480	52520
144	48782	52146
145	49096	51786
146	49400	51417
147	49672	51015
148	49970	50641
149	50271	50271
150	50554	49885
151	50860	49521
152	51164	49158
153	51450	48777
154	51740	48402
155	52041	48038
156	52361	47692
157	52670	47336
158	53011	47010
159	53307	46644
160	53612	46286
161	53913	45925
162	54239	45587
163	54543	45231
164	54853	44879
165	55160	44527
166	55466	44173
167	55780	43827
168	56079	43470
169	56421	43145
170	56752	42813
171	57045	42452
172	57364	42111
173	57672	41762
174	58039	41456
175	58540	41244
176	58973	40981
177	59308	40649
178	59611	40296
179	59932	39954
180	60260	39619
181	60587	39282
182	60991	38994
183	61334	38667
184	61625	38307
185	61990	37993
186	62443	37733
187	62856	37446
188	63286	37168
189	63584	36812
190	64049	36551
191	64523	36294
192	64883	35971
193	65193	35621
194	65531	35286
195	65839	34935
196	66145	34583
197	66462	34238
198	66793	33900
199	67091	33545
200	67476	33234
201	67783	32885
202	68293	32632
203	68857	32403
204	69606	32256
205	69990	31937
206	70348	31605
207	70675	31260
208	71010	30918
209	71465	30627
210	72036	30384
211	72698	30176
212	73289	29935
213	73758	29641
214	74450	29433
215	74970	29155
216	75381	28832
217	75843	28528
218	76336	28233
219	76960	27985
220	77415	27673
221	77760	27321
222	78256	27021
223	79020	26810
224	79674	26558
225	80207	26262
226	80587	25915
227	80865	25536
228	81215	25180
229	81583	24829
230	81966	24483
231	82550	24195
232	83041	23878
233	83384	23518
234	83790	23176
235	84364	22878
236	84736	22524
237	85160	22184
238	85562	21838
239	86042	21510
240	86432	21159
241	86797	20802
242	87240	20463
243	87571	20098
244	87982	19751
245	88486	19423
246	88894	19074
247	89384	18741
248	89731	18378
249	90079	18015
250	90466	17660
251	90750	17285
252	91065	16917
253	91385	16550
254	91671	16177
255	92006	15813
256	92312	15445
257	92644	15081
258	92971	14717
259	93245	14345
260	93552	13979
261	93855	13612
262	94117	13240
263	94413	12874
264	94886	12532
265	95324	12184
266	95728	11831
267	96097	11474
268	96557	11127
269	96924	10769
270	97259	10407
271	97672	10054
272	98059	9698
273	98493	9346
274	98894	8990
275	99434	8646
276	99753	8282
277	100171	7927
278	100582	7570
279	100963	7211
280	101501	6863
281	101853	6501
282	102370	6149
283	102854	5794
284	103242	5433
285	103557	5069
286	103932	4707
287	104249	4343
288	104610	3981
289	104896	3617
290	105439	3261
291	105860	2900
292	106272	2538
293	106656	2176
294	107088	1815
295	107710	1455
296	108262	1093
297	108688	729
298	109140	365
299	109779	0
